year,state,dem_two_party_share
1992,GA,0.503422475
1992,HI,0.56718968
1992,IA,0.537325291
1992,ID,0.40338517
1992,IL,0.585864976
1992,IN,0.461504253
1992,KS,0.464589444
1992,KY,0.518687777
1992,LA,0.526651413
1992,MA,0.620934622
1992,MD,0.582999
1992,ME,0.560558729
1992,MI,0.546162161
1992,MN,0.577213402
1992,MO,0.565069964
1992,MS,0.45074372
1992,MT,0.517240571
1992,NC,0.495621743
1992,ND,0.421252952
1992,NE,0.386882696
1992,NH,0.507965514
1992,NJ,0.514203184
1992,NM,0.551421568
1992,NV,0.518247775
1992,NY,0.594765505
1992,OH,0.511669098
1992,OK,0.443778817
1992,OR,0.566338915
1992,PA,0.555593739
1992,RI,0.618437228
1992,SC,0.453643719
1992,SD,0.477389662
1992,TN,0.525980356
1992,TX,0.477583219
1992,UT,0.362464209
1992,VA,0.474449871
1992,VT,0.602542014
1992,WA,0.575917011
1992,WI,0.527945085
1992,WV,0.577688381
1992,WY,0.462079766
1996,AK,0.395714975
1996,AL,0.462666794
1996,AR,0.593528249
1996,AZ,0.512188521
1996,CA,0.572162527
1996,CO,0.492407935
1996,CT,0.603635069
1996,DE,0.586236566
1996,FL,0.531597176
1996,GA,0.493677765
1996,HI,0.642761518
1996,IA,0.557333889
1996,ID,0.392009724
1996,IL,0.596061997
1996,IN,0.468517181
1996,KS,0.399276345
1996,KY,0.505290512
1996,LA,0.56630601
1996,MA,0.686378254
1996,MD,0.586384235
1996,ME,0.626621204
1996,MI,0.573218218
1996,MN,0.593793888
1996,MO,0.535470375
1996,MS,0.472527064
1996,MT,0.483125895
1996,NC,0.474695105
1996,ND,0.46088681
1996,NE,0.394451775
1996,NH,0.556116317
1996,NJ,0.599664373
1996,NM,0.540241306
1996,NV,0.505865314
1996,NY,0.660175097
1996,OH,0.53596967
1996,OK,0.455993909
1996,OR,0.546931157
1996,PA,0.551620886
1996,RI,0.690043052
1996,SC,0.468891815
1996,SD,0.480664146
1996,TN,0.512866423
1996,TX,0.473399111
1996,UT,0.379805122
1996,VA,0.489319843
1996,VT,0.631828304
1996,WA,0.571946528
1996,WI,0.559191967
1996,WV,0.583546652
1996,WY,0.425120826
2000,AK,0.320630514
2000,AL,0.423930488
2000,AR,0.471993105
2000,AZ,0.467174008
2000,CA,0.562009931
2000,CO,0.455140069
2000,CT,0.59255658
2000,DE,0.56854642
2000,FL,0.499811616
2000,GA,0.440162464
2000,HI,0.597034637
2000,IA,0.501627792
2000,ID,0.291515095
2000,IL,0.5618019
2000,IN,0.419952175
2000,KS,0.390830925
2000,KY,0.422723847
2000,LA,0.46060754
2000,MA,0.647893438
2000,MD,0.584322989
2000,ME,0.527478415
2000,MI,0.526324313
2000,MN,0.51286412
2000,MO,0.482883324
