k,fighter,elo,match_id,date,weight_class
20,Alessandro Ricci,1490,1348,2016-08-27,Lightweight
20,Alessandro Ricci,1480.28774368332,1097,2017-02-19,Lightweight
20,Alessio Di Chirico,1490,1541,2016-04-10,Middleweight
20,Alessio Di Chirico,1500.28774368332,1345,2016-08-27,Middleweight
20,Alessio Di Chirico,1490.2794617562658,1133,2017-01-28,Middleweight
20,Alessio Di Chirico,1500.5591683591538,717,2017-12-16,Middleweight
20,Alessio Di Chirico,1510.5430742139463,479,2018-07-06,Middleweight
20,Alessio Sakara,1500,4665,2005-10-07,Light Heavyweight
20,Alessio Sakara,1510,4631,2006-02-04,Light Heavyweight
20,Alessio Sakara,1499.71225631668,4592,2006-05-27,Light Heavyweight
20,Alessio Sakara,1489.7205382437342,4505,2006-11-18,Light Heavyweight
20,Alessio Sakara,1500.0163186354612,4438,2007-04-21,Light Heavyweight
20,Alessio Sakara,1490.0158489473772,4373,2007-09-08,Light Heavyweight
20,Alessio Sakara,1500.3031368384165,4312,2008-01-19,Light Heavyweight
20,Alessio Sakara,1490.6062304149004,4279,2008-03-01,Middleweight
20,Alessio Sakara,1500.8765389734976,4177,2008-09-17,Middleweight
20,Alessio Sakara,1510.8513102073516,3992,2009-08-08,Middleweight
20,Alessio Sakara,1520.5390859089568,3849,2010-03-21,Middleweight
20,Alessio Sakara,1509.9486111856893,3591,2011-03-03,Middleweight
20,Alessio Sakara,1499.6623453729878,3261,2012-04-14,Middleweight
20,Alessio Sakara,1489.3998928473184,3053,2012-11-17,Middleweight
20,Alessio Sakara,1479.4334459229442,2701,2013-10-26,Middleweight
20,Alex Andrade,1490,4921,2000-06-09,Middleweight
20,Alex Caceres,1490,3570,2011-03-26,Featherweight
20,Alex Caceres,1480.28774368332,3483,2011-08-14,Featherweight
20,Alex Caceres,1490.85450002419,3396,2011-11-12,Bantamweight
20,Alex Caceres,1481.1176678934905,3310,2012-02-04,Bantamweight
20,Alex Caceres,1491.6606106453278,3151,2012-07-11,Bantamweight
20,Alex Caceres,1501.9005914805996,3066,2012-11-10,Bantamweight
20,Alex Caceres,1501.8458886061144,2945,2013-03-02,Bantamweight
20,Alex Caceres,1511.7927601611493,2743,2013-09-21,Bantamweight
20,Alex Caceres,1521.453467526568,2589,2014-01-25,Bantamweight
20,Alex Caceres,1510.8367706807755,2369,2014-07-05,Bantamweight
20,Alex Caceres,1500.524964456189,2256,2014-09-20,Bantamweight
20,Alex Caceres,1490.509854776048,1914,2015-06-06,Bantamweight
20,Alex Caceres,1500.7829352008496,1613,2016-01-30,Featherweight
20,Alex Caceres,1510.7604005524659,1464,2016-06-04,Featherweight
20,Alex Caceres,1500.4507903148121,1361,2016-08-06,Featherweight
20,Alex Caceres,1490.437815533856,1128,2017-01-28,Featherweight
20,Alex Caceres,1500.7129678567244,969,2017-06-17,Featherweight
20,Alex Caceres,1490.6924470210458,758,2017-11-25,Featherweight
20,Alex Caceres,1500.96027586282,477,2018-07-06,Featherweight
20,Alex Caceres,1490.9326369721127,178,2019-02-17,Featherweight
20,Alex Chambers,1500.28774368332,1965,2015-05-09,Women's Strawweight
20,Alex Chambers,1490.2794617562658,1775,2015-09-05,Women's Strawweight
20,Alex Chambers,1480.5591683591538,778,2017-11-18,Women's Strawweight
20,Alex Chambers,1471.1181372205308,373,2018-09-22,Women's Strawweight
20,Alex Da Silva,1490,83,2019-04-20,Lightweight
20,Alex Garcia,1510,2650,2013-12-06,Welterweight
20,Alex Garcia,1519.71225631668,2528,2014-03-15,Welterweight
20,Alex Garcia,1509.14549997581,2296,2014-08-23,Welterweight
20,Alex Garcia,1518.8823321065095,1873,2015-07-11,Welterweight
20,Alex Garcia,1508.3393893546722,1585,2016-02-21,Welterweight
20,Alex Garcia,1517.8285479500687,1156,2016-12-30,Welterweight
20,Alex Garcia,1507.3158510225153,955,2017-06-25,Welterweight
20,Alex Garcia,1517.1053150189348,759,2017-11-25,Welterweight
20,Alex Garcia,1506.6133818770884,567,2018-04-21,Welterweight
20,Alex Garcia,1496.4230564315492,340,2018-10-27,Welterweight
20,Alex Gorgees,1490,273,2018-12-01,Lightweight
20,Alex Hunter,1510,5021,1997-07-27,Heavyweight
20,Alex Hunter,1519.71225631668,5013,1997-10-17,Heavyweight
20,Alex Karalexis,1510,4713,2005-04-09,Welterweight
20,Alex Karalexis,1499.71225631668,4687,2005-08-06,Welterweight
20,Alex Karalexis,1489.7205382437342,4642,2006-01-16,Welterweight
20,Alex Morono,1510,1636,2016-01-02,Welterweight
20,Alex Morono,1519.71225631668,1166,2016-12-17,Welterweight
20,Alex Morono,1519.1906583803968,1123,2017-02-04,Welterweight
20,Alex Morono,1508.6388678740607,845,2017-09-22,Welterweight
20,Alex Morono,1518.3902724985844,639,2018-02-18,Welterweight
20,Alex Morono,1507.861451687665,428,2018-07-28,Welterweight
20,Alex Morono,1517.6352195271588,291,2018-11-24,Welterweight
20,Alex Morono,1527.1280725700926,148,2019-03-09,Welterweight
20,Alex Nicholson,1490,1596,2016-02-06,Light Heavyweight
20,Alex Nicholson,1500.016312544304,1406,2016-07-13,Middleweight
20,Alex Nicholson,1490.0158430315375,1267,2016-11-05,Middleweight
20,Alex Nicholson,1480.3031310927079,1000,2017-05-28,Middleweight
20,Alex Oliveira,1490,2017,2015-03-21,Lightweight
20,Alex Oliveira,1500.28774368332,1923,2015-05-30,Welterweight
20,Alex Oliveira,1510.2794617562658,1883,2015-06-27,Welterweight
20,Alex Oliveira,1519.6966714531231,1729,2015-11-07,Lightweight
20,Alex Oliveira,1509.7486997079743,1579,2016-02-21,Welterweight
20,Alex Oliveira,1519.1891534319109,1392,2016-07-23,Welterweight
20,Alex Oliveira,1528.6374061095994,1282,2016-10-01,Lightweight
20,Alex Oliveira,1528.1162077567403,1158,2016-12-30,Welterweight
20,Alex Oliveira,1537.6249350812516,1074,2017-03-11,Welterweight
20,Alex Oliveira,1546.8455682756191,912,2017-07-22,Welterweight
20,Alex Oliveira,1535.5053561928546,738,2017-12-02,Welterweight
20,Alex Oliveira,1544.4869725352416,573,2018-04-14,Welterweight
20,Alex Oliveira,1553.2134866342244,361,2018-09-22,Welterweight
20,Alex Oliveira,1542.3132282034298,251,2018-12-08,Welterweight
20,Alex Oliveira,1530.8415184689354,65,2019-04-27,Welterweight
20,Alex Perez,1510,727,2017-12-09,Bantamweight
20,Alex Perez,1519.71225631668,627,2018-02-24,Flyweight
20,Alex Perez,1529.14549997581,421,2018-08-04,Flyweight
20,Alex Perez,1518.3085872825525,281,2018-11-30,Flyweight
20,Alex Perez,1527.7821110153932,112,2019-03-30,Bantamweight
20,Alex Reyes,1490.0655786247014,850,2017-09-16,Welterweight
20,Alex Schoenauer,1489.7198247888687,4712,2005-04-09,Middleweight
20,Alex Soto,1490,3383,2011-11-19,Bantamweight
20,Alex Soto,1480.5754447303977,3235,2012-05-15,Bantamweight
